| No | Level | Date | Time | Text |
|1|ERROR|22 Mar 2020|08:51 AM|:..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket.|
|2|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|3|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp|
|4|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|5|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|6|ERROR|22 Mar 2020|08:51 AM|:..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket.|
|7|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|8|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp|
|9|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|10|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|11|ERROR|22 Mar 2020|08:51 AM|:..settcpimage: Get TCP images rc - EDC8112I Operation not supported on socket.|
|12|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|13|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp|
|14|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|15|ERROR|22 Mar 2020|08:51 AM|:....mailbox_register: mailbox allocated for rsvp-udp|
|16|DEBUG|22 Mar 2020|08:51 AM|:.main: Using log level 511|
|17|DEBUG|22 Mar 2020|08:51 AM|:...read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0|
|18|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for timer|
|19|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP via UDP|
|20|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP|
|21|DEBUG|22 Mar 2020|08:51 AM|:......mailslot_create: creating socket for querying route|
|22|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for RSVP client API|
|23|DEBUG|22 Mar 2020|08:51 AM|:...mailbox_register: mailbox allocated for rsvp-api|
|24|DEBUG|22 Mar 2020|08:51 AM|:...mailslot_create: creating mailslot for terminate|
|25|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: APIInitialize: ApiHandle = 98BDFB0, connfd = 22|
|26|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: ReadBuffer: Exiting|
|27|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindActionName: Result = 0|
|28|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName: Result = 0|
|29|DEBUG|22 Mar 2020|08:51 AM|:.main: Using log level 511|
|30|DEBUG|22 Mar 2020|08:51 AM|:...read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0|
|31|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for timer|
|32|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP via UDP|
|33|DEBUG|22 Mar 2020|08:51 AM|:.....mailslot_create: creating mailslot for RSVP|
|34|DEBUG|22 Mar 2020|08:51 AM|:......mailslot_create: creating socket for querying route|
|35|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for RSVP client API|
|36|DEBUG|22 Mar 2020|08:51 AM|:...mailbox_register: mailbox allocated for rsvp-api|
|37|DEBUG|22 Mar 2020|08:51 AM|:...mailslot_create: creating mailslot for terminate|
|38|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: APIInitialize: ApiHandle = 98BDFB0, connfd = 22|
|39|DEBUG|23 Mar 2020|08:52 AM|:.......init_policyAPI: ReadBuffer: Exiting|
|40|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindActionName: Result = 0|
|41|DEBUG|23 Mar 2020|08:52 AM|:......rpapi_getPolicyData: RSVPFindServiceDetailsOnActName: Result = 0|
|42|DEBUG|22 Mar 2020|08:51 AM|:.main: Using log level 511|
|43|DEBUG|22 Mar 2020|08:51 AM|:...read_physical_netif: index #0, interface VLINK1 has address 129.1.1.1, ifidx 0|
|44|DEBUG|22 Mar 2020|08:51 AM|:....mailslot_create: creating mailslot for timer|
